"RvNumber"	"Mtnumber"	"Gene_Symbol"	"Gene_Description"
"Rv3508"	NA	"PE_PGRS"	"PE_PGRS-family protein"
"Rv3509c"	"MT3613"	"ilvX"	"probable acetohydroxyacid synthase I large subunit"
"Rv3510c"	NA	"Rv3510c"	"conserved hypothetical protein"
"Rv3511"	"MT3615.1"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv3512"	"MT3615.1"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv3513c"	"MT3615.2"	"fadD18"	"acyl-CoA synthase"
"Rv3514;Rv3514;Rv3514"	NA	NA	NA
"Rv3515c"	"MT3616"	"fadD19"	"acyl-CoA synthase"
"Rv3516"	"MT3617"	"echA19"	"enoyl-CoA hydratase/isomerase superfamily"
"Rv3517"	"MT3618"	"Rv3517"	"conserved hypothetical protein"
"Rv3518c"	"MT3619"	"Rv3518c"	"Probable Cytochrome P450 monooxygenasemonoxygenase"
"Rv3519;Rv3519"	NA	NA	NA
"Rv3520c"	"MT3621"	"Rv3520c"	"probable coenzyme F420-dependent enzyme"
"Rv3521"	NA	"Rv3521"	"conserved hypothetical protein"
"Rv3522"	"MT3622.1"	"Rv3522"	"putative transcriptional regulator"
"Rv3523"	"MT3623"	"Rv3523"	"lipid carrier protein"
"Rv3524"	"MT3624"	"Rv3524"	"possible membrane sensor protein"
"Rv3525c"	"MT3625"	"Rv3525c"	"similar to ferripyochelin binding protein"
"Rv3526"	NA	"Rv3526"	"putative phthalate oxygenase"
"Rv3527"	"MT3627"	"Rv3527"	"hypothetical protein"
"Rv3528c"	"MT3629"	"Rv3528c"	"hypothetical protein"
"Rv3529c"	"MT3632"	"Rv3529c"	"conserved hypothetical protein"
"Rv3530c"	"MT3633"	"Rv3530c"	"probable cis-diol dehydrogenase"
"Rv3531c"	"MT3634"	"Rv3531c"	"hypothetical protein"
"Rv3532"	"MT3636"	"PPE"	"PPE-family protein"
"Rv3533c"	"MT3637"	"PPE"	"PPE-family protein"
"Rv3534c"	NA	"Rv3534c"	"4-hydroxy-2-oxovalerate aldolase"
"Rv3535c"	"MT3639"	"Rv3535c"	"acetaldehyde dehydrogenase"
"Rv3536c"	"MT3640"	"Rv3536c"	"aromatic hydrocarbon degradation"
"Rv3537"	"MT3641"	"Rv3537"	"3-oxosteroid 1-dehydrogenase"
"Rv3538"	"MT3642"	"ufaA2"	"unknown fatty acid methyltransferase"
"Rv3539"	"MT3643"	"PE"	"PE-family protein"
"Rv3540c"	"MT3644"	"ltp2"	"non-specific lipid transport protein"
"Rv3541c"	NA	"Rv3541c"	"hypothetical protein"
"Rv3542c"	NA	"Rv3542c"	"hypothetical protein"
"Rv3543c"	"MT3647"	"fadE29"	"acyl-CoA dehydrogenase"
"Rv3544c"	"MT3648"	"fadE28"	"acyl-CoA dehydrogenase"
"Rv3545c"	"MT3649"	"Rv3545c"	"cytochrome p450"
"Rv3546"	"MT3650"	"fadA5"	"acetyl-CoA C-acetyltransferase"
"Rv3547"	"MT3651"	"Rv3547"	"conserved hypothetical protein"
"Rv3548c"	"MT3652"	"Rv3548c"	"short-chain alcohol dehydrogenase family"
"Rv3549c"	"MT3653"	"Rv3549c"	"short-chain alcohol dehydrogenase family"
"Rv3550"	"MT3654"	"echA20"	"enoyl-CoA hydratase/isomerase superfamily"
"Rv3551"	"MT3655"	"Rv3551"	"possible glutaconate CoA-transferase"
"Rv3552"	"MT3656"	"Rv3552"	"hypothetical protein"
"Rv3553"	NA	"Rv3553"	"similar to dioxygenasesdiooxygenases"
"Rv3554"	"MT3658"	"fdxB"	"ferredoxin"
"Rv3555c"	"MT3659"	"Rv3555c"	"conserved hypothetical protein"
"Rv3556c"	"MT3660"	"fadA6"	"acetyl-CoA C-acetyltransferase"
"Rv3557c;Rv3557c"	NA	NA	NA
"Rv3558;Rv3558"	NA	NA	NA
"Rv3559c"	NA	"Rv3559c"	"short-chain alcohol dehydrogenase"
"Rv3560c"	"MT3665"	"fadE30"	"acyl-CoA dehydrogenase"
"Rv3561"	NA	"fadD3"	"acyl-CoA synthase"
"Rv3562"	"MT3667"	"fadE31"	"acyl-CoA dehydrogenase"
"Rv3563"	"MT3668"	"fadE32"	"acyl-CoA dehydrogenase"
"Rv3564"	"MT3669"	"fadE33"	"acyl-CoA dehydrogenase"
"Rv3565"	"MT3670"	"aspB"	"aspartate aminotransferase"
"Rv3566c"	"MT3671"	"nhoA"	"N-hydroxyarylamine o-acetyltransferase"
"Rv3567c"	"MT3672"	"Rv3567c"	"conserved hypothetical protein"
"Rv3568c"	"MT3673"	"Rv3568c"	"putative dioxygenase"
"Rv3569c"	NA	"Rv3569c"	"probable hydrolase"
"Rv3570c"	"MT3675"	"Rv3570c"	"putative oxidoreductase"
"Rv3571"	NA	"Rv3571"	"electron transfer component of"
"Rv3572"	NA	"Rv3572"	"hypothetical protein"
"Rv3573c"	"MT3678"	"fadE34"	"acyl-CoA dehydrogenase"
"Rv3574"	"MT3679"	"Rv3574"	"transcriptional regulator (TetR/AcrR family)"
"Rv3575c"	"MT3680"	"Rv3575c"	"transcriptional regulator (LacI family)"
"Rv3576"	"MT3681"	"pknM"	"similar to ser-thr-protein kinases"
"Rv3577"	"MT3682"	"Rv3577"	"hypothetical protein"
"Rv3578"	"MT3684"	"arsB2"	"probable arsenical pump"
"Rv3579c"	"MT3685"	"Rv3579c"	"putative methyltransferase"
"Rv3580c"	"MT3686"	"cysS"	"cysteinyl-tRNA synthase"
"Rv3581c"	"MT3687"	"Rv3581c"	"conserved hypothetical protein"
"Rv3582c"	"MT3688"	"Rv3582c"	"conserved hypothetical protein"
"Rv3583c"	"MT3689"	"Rv3583c"	"putative transcriptional regulator"
"Rv3584"	NA	"lpqE"	"lipoprotein"
"Rv3585"	"MT3691"	"radA"	"probable DNA repair RadA homologue"
"Rv3586"	"MT3692"	"Rv3586"	"conserved hypothetical protein"
"Rv3587c"	"MT3693"	"Rv3587c"	"hypothetical protein"
"Rv3588c"	"MT3694"	"Rv3588c"	"putative carbonic anhydrase"
"Rv3589"	"MT3695"	"mutY"	"probable DNA glycosylase"
"Rv3590c"	"MT3696"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv3591c"	"MT3697"	"Rv3591c"	"conserved hypothetical protein"
"Rv3592"	"MT3698"	"Rv3592"	"conserved hypothetical protein"
"Rv3593"	"MT3699"	"lpqF"	"lipoprotein"
"Rv3594"	"MT3700"	"Rv3594"	"hypothetical protein"
"Rv3595c;Rv3595c"	NA	NA	NA
"Rv3596c"	"MT3703"	"clpC"	"ATP-dependent Clp protease"
"Rv3597c"	"MT3704"	"lsr2"	""
"Rv3598c"	"MT3705"	"lysS"	"lysyl-tRNA synthase"
"Rv3599c"	NA	"Rv3599c"	"hypothetical protein"
"Rv3600c"	"MT3706"	"Rv3600c"	"conserved hypothetical protein"
"Rv3601c"	"MT3706.1"	"panD"	"aspartate 1-decarboxylase"
"Rv3602c"	"MT3707"	"panC"	"pantoate-[beta]-alanine ligase"
"Rv3603c"	"MT3708"	"Rv3603c"	"hypothetical protein"
"Rv3604c"	"MT3709"	"Rv3604c"	"unknown membrane protein"
"Rv3605c"	"MT3710"	"Rv3605c"	"hypothetical protein"
"Rv3606c"	NA	"folK"	"7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase"
"Rv3607c"	"MT3712.1"	"folX"	"may be involved in folate biosynthesis"
"Rv3608c"	"MT3712"	"folP"	"dihydropteroate synthase"
"Rv3609c"	"MT3713"	"folE"	"GTP cyclohydrolase I"
"Rv3610c"	"MT3714"	"ftsH"	"inner membrane protein, chaperone"
"Rv3611"	NA	"Rv3611"	"hypothetical protein"
"Rv3612c"	"MT3715"	"Rv3612c"	"hypothetical protein"
"Rv3613c"	NA	"Rv3613c"	"hypothetical protein"
"Rv3614c"	"MT3716"	"Rv3614c"	"conserved hypothetical protein"
"Rv3615c"	"MT3717"	"Rv3615c"	"conserved hypothetical protein"
"Rv3616c"	"MT3718"	"Rv3616c"	"conserved hypothetical protein"
"Rv3617"	"MT3719"	"ephA"	"probable epoxide hydrolase"
"Rv3618"	"MT3720"	"Rv3618"	"similar bacterial luciferase alpha chains"
"Rv3619c"	"MT1066"	"Rv3619c"	"conserved hypothetical protein"
"Rv3620c"	"MT1067"	"Rv3620c"	"conserved hypothetical protein"
"Rv3621c"	"MT3723"	"PPE"	"PPE-family protein"
"Rv3622c"	"MT3724"	"PE"	"PE-family protein"
"Rv3623"	"MT3725"	"lpqG"	"similar OMP28"
"Rv3624c"	"MT3726"	"hpt"	"probable hypoxanthine-guanine"
"Rv3625c"	"MT3727"	"mesJ"	"probable cell cycle protein"
"Rv3626c"	"MT3728"	"Rv3626c"	"hypothetical protein"
"Rv3627c"	NA	"Rv3627c"	"probable penicillin binding protein"
"Rv3628"	"MT3730"	"ppa"	"probable inorganic pyrophosphatase"
"Rv3629c"	"MT3731"	"Rv3629c"	"possible membrane protein"
"Rv3630"	"MT3732"	"Rv3630"	"unknown membrane protein"
"Rv3631"	NA	"Rv3631"	"possible glucosyltransferase"
"Rv3632"	"MT3734"	"Rv3632"	"hypothetical protein"
"Rv3633"	"MT3735"	"Rv3633"	"conserved hypothetical protein"
"Rv3634c"	"MT3736"	"rmlB2"	"dTDP-glucose 4,6-dehydratase"
"Rv3635"	"MT3737"	"Rv3635"	"unknown transmembrane protein"
"Rv3636"	"MT3739"	"Rv3636"	"hypothetical protein"
"Rv3637"	NA	"Rv3637"	"hypothetical protein"
"Rv3638"	"MT3740"	"Rv3638"	"hypothetical protein"
"Rv3639c"	"MT3741"	"Rv3639c"	"conserved hypothetical protein"
"Rv3640c"	"MT3742"	"Rv3640c"	"probable transposase highly related to IS1081"
"Rv3641c"	"MT3743"	"fic"	"possible cell division protein"
"Rv3642c"	"MT3743.1"	"Rv3642c"	"hypothetical protein"
"Rv3643"	NA	"Rv3643"	"hypothetical protein"
"Rv3644c"	NA	"Rv3644c"	"similar in N-term to DNA polymerase III"
"Rv3645"	"MT3748"	"Rv3645"	"probable transmembrane protein"
"Rv3646c"	"MT3749"	"topA"	"DNA topoisomerase"
"Rv3647c"	"MT3750"	"Rv3647c"	"hypothetical protein"
"Rv3648c"	"MT3750.1"	"cspA"	"cold shock protein, transcriptional regulator"
"Rv3649"	"MT3751"	"Rv3649"	"ATP-dependent DNA/RNA helicase"
"Rv3650"	"MT3752"	"PE"	"PE-family protein"
"Rv3651"	"MT3753"	"Rv3651"	"hypothetical protein"
"Rv3652;Rv3652"	NA	NA	NA
"Rv3653;Rv3653"	NA	NA	NA
"Rv3654c;Rv3654c"	NA	NA	NA
"Rv3655c"	"MT3756.2"	"Rv3655c"	"hypothetical protein"
"Rv3656c"	NA	"Rv3656c"	"hypothetical protein"
"Rv3657c"	NA	"Rv3657c"	"hypothetical protein"
"Rv3658c"	"MT3758"	"Rv3658c"	"probable transmembrane protein"
"Rv3659c"	"MT3759"	"trbB"	"similar to conjugal transfer proteins"
"Rv3660c"	"MT3760"	"Rv3660c"	"involved in differentiation inhibition between"
"Rv3661"	"MT3761"	"Rv3661"	"involved in differentiation inhibition between"
"Rv3662c"	"MT3763"	"Rv3662c"	"hypothetical protein"
"Rv3663c"	"MT3764"	"dppD"	"probable ABC-transporter"
"Rv3664c"	"MT3765"	"dppC"	"probable peptide transport system permease"
"Rv3665c"	"MT3766"	"dppB"	"probable peptide transport system permease"
"Rv3666c"	"MT3767"	"dppA"	"probable peptide transport system permease"
"Rv3667"	"MT3768"	"acs"	"acetyl-CoA synthase"
"Rv3668c"	"MT3769"	"Rv3668c"	"probable alkaline serine protease"
"Rv3669"	NA	"Rv3669"	"hypothetical protein"
"Rv3670"	NA	"ephE"	"probable epoxide hydrolase"
"Rv3671c"	"MT3772"	"Rv3671c"	"probable serine protease"
"Rv3672c"	NA	"Rv3672c"	"conserved hypothetical protein"
"Rv3673c"	"MT3774"	"Rv3673c"	"protein disulphide oxidoreductase"
"Rv3674c"	"MT3775"	"nth"	"probable endonuclease III"
"Rv3675"	"MT3776"	"Rv3675"	"hypothetical protein"
"Rv3676"	NA	"Rv3676"	"transcriptional regulator (Crp/Fnr family)"
"Rv3677c"	"MT3778"	"Rv3677c"	"probable hydrolase"
"Rv3678c"	"MT3779"	"Rv3678c"	"transcriptional regulator (LysR family)"
"Rv3679"	"MT3781"	"Rv3679"	"possible anion transporter"
"Rv3680"	"MT3782"	"Rv3680"	"probable anion transporter"
"Rv3681c"	"MT3783"	"whiB4"	"WhiB transcriptional activator homologue"
"Rv3682"	"MT3784"	"ponA "	"class A penicillin binding protein"
"Rv3683"	"MT3785"	"Rv3683"	"conserved hypothetical protein"
"Rv3684"	"MT3786"	"Rv3684"	"Probable lyase, cysteine metabolism"
"Rv3685c"	"MT3787"	"Rv3685c"	"Probable cytochrome P-450"
"Rv3686c"	"MT3788"	"Rv3686c"	"conserved hypothetical protein"
"Rv3687c"	"MT3789"	"Rv3687c"	"conserved hypothetical protein"
"Rv3688c"	"MT3790"	"Rv3688c"	"conserved hypothetical protein"
"Rv3689"	"MT3791"	"Rv3689"	"hypothetical protein"
"Rv3690"	"MT3792"	"Rv3690"	"hypothetical protein"
"Rv3691"	"MT3793"	"Rv3691"	"hypothetical protein"
"Rv3692"	"MT3794"	"moxR2"	"transcriptional regulator, MoxR homologue"
"Rv3693"	"MT3795"	"Rv3693"	"conserved hypothetical protein"
"Rv3694c"	"MT3796"	"Rv3694c"	"conserved hypothetical protein"
"Rv3695;Rv3695"	NA	NA	NA
"Rv3696c"	"MT3798"	"glpK"	"ATP:glycerol 3-phosphotransferase"
"Rv3697c"	"MT3799"	"Rv3697c"	"conserved hypothetical protein"
"Rv3698"	"MT3801"	"Rv3698"	"hypothetical protein"
"Rv3699"	"MT3802"	"Rv3699"	"Probable methyltransferase"
"Rv3700c"	"MT3803"	"Rv3700c"	"probable acetyltransferase"
"Rv3701c"	"MT3804"	"Rv3701c"	"conserved hypothetical protein"
"Rv3702c"	"MT3805"	"Rv3702c"	"conserved hypothetical protein"
"Rv3703c"	"MT3806"	"Rv3703c"	"conserved hypothetical protein"
"Rv3704c"	"MT3807"	"gshA"	"possible [gamma]-glutamylcysteine synthase"
"Rv3705c"	"MT3808"	"Rv3705c"	"hypothetical protein"
"Rv3706c"	"MT3809"	"Rv3706c"	"hypothetical protein"
"Rv3707c"	"MT3810"	"Rv3707c"	"conserved hypothetical protein"
"Rv3708c"	"MT3811"	"asd"	"aspartate semialdehyde dehydrogenase"
"Rv3709c"	"MT3812"	"ask"	"aspartokinase"
"Rv3710"	"MT3813"	"leuA"	"2-isopropylmalate synthase"
"Rv3711c"	NA	"dnaQ"	"DNA polymerase III [epsilon] chain"
"Rv3712"	"MT3815"	"Rv3712"	"conserved hypothetical protein"
"Rv3713"	"MT3816"	"cobQ2"	"possible cobyric acid synthase"
"Rv3714c"	"MT3817"	"Rv3714c"	"conserved hypothetical protein"
"Rv3715c"	"MT3818"	"recR"	"RecBC-Independent process of DNA repair"
"Rv3716c"	"MT3819"	"Rv3716c"	"conserved hypothetical protein"
"Rv3717"	"MT3820"	"Rv3717"	"possible N-acetylmuramoyl-L-alanine amidase"
"Rv3718c"	NA	"Rv3718c"	"hypothetical protein"
"Rv3719"	"MT3822"	"Rv3719"	"conserved hypothetical protein"
"Rv3720"	"MT3823"	"Rv3720"	"C-term similar to cyclopropane fatty acid synthases"
"Rv3721c"	"MT3824"	"dnaZX"	"DNA polymerase III, [gamma] (dnaZ) and t (dnaX)"
"Rv3722c"	"MT3825"	"Rv3722c"	"hypothetical protein"
"Rv3723"	"MT3826"	"Rv3723"	"hypothetical protein"
"Rv3724"	"MT3827"	"Rv3724"	"probable cutinase precursor"
"Rv3725"	"MT3828"	"Rv3725"	"putative oxidoreductase"
"Rv3726"	"MT3829"	"Rv3726"	"Putative alcohol dehydrogenase, zinc-type"
"Rv3727"	"MT3830"	"Rv3727"	"similar to phytoene dehydrogenase precursor"
"Rv3728"	"MT3831"	"Rv3728"	"possible sugar transporter"
"Rv3729"	"MT3833"	"Rv3729"	"probable transferase"
"Rv3730c"	"MT3835"	"Rv3730c"	"conserved hypothetical protein"
"Rv3731"	"MT3836"	"ligC"	"probable DNA ligase"
"Rv3732"	"MT3837"	"Rv3732"	"conserved hypothetical protein"
"Rv3733c"	"MT3838"	"Rv3733c"	"hypothetical protein"
"Rv3734c"	"MT3839"	"Rv3734c"	"conserved hypothetical protein"
"Rv3735"	"MT3840"	"Rv3735"	"conserved hypothetical protein"
"Rv3736"	"MT3841"	"Rv3736"	"transcriptional regulator (AraC/XylS family)"
"Rv3737"	"MT3842"	"Rv3737"	"possible membrane protein"
"Rv3738c"	"MT3844"	"PPE"	"PPE-family protein"
"Rv3739c"	"MT3844"	"PPE"	"PPE-family protein"
"Rv3740c"	"MT3848"	"Rv3740c"	"conserved hypothetical protein"
"Rv3741c"	"MT3849"	"Rv3741c"	"possible monooxygenasemonoxygenase-a"
"Rv3742c"	"MT3850"	"Rv3742c"	"possible monooxygenase-b"
"Rv3743c"	"MT3851"	"Rv3743c"	"probable cation-transporting ATPase"
"Rv3744"	"MT3852"	"Rv3744"	"transcriptional regulator (ArsR family)"
"Rv3745c"	"MT3853"	"Rv3745c"	"conserved hypothetical protein"
"Rv3746c"	"MT3854"	"PE"	"PE-family protein"
"Rv3747"	NA	"Rv3747"	"conserved hypothetical protein"
"Rv3748"	NA	"Rv3748"	"conserved hypothetical protein"
"Rv3749c"	"MT3856"	"Rv3749c"	"hypothetical protein"
"Rv3750c"	"MT3857"	"Rv3750c"	"excisionase"
"Rv3751"	NA	"Rv3751"	"putative integrase"
"Rv3752c"	NA	"Rv3752c"	"probable cytidine/deoxycytidylate deaminase"
"Rv3753c"	"MT3860"	"Rv3753c"	"hypothetical protein"
"Rv3754"	"MT3861"	"tyrA"	"prephenate dehydrogenase"
"Rv3755c"	"MT3862"	"Rv3755c"	"hypothetical protein"
"Rv3756c"	"MT3863"	"proZ"	"transport system permease"
"Rv3757c"	"MT3864"	"proW"	"transport system permease"
"Rv3758c"	"MT3865"	"proV"	"osmoprotection ABC transporter"
"Rv3759c"	"MT3866"	"proX"	"similar to osmoprotection proteins"
"Rv3760"	"MT3867"	"Rv3760"	"conserved hypothetical protein"
"Rv3761c"	"MT3868"	"fadE36"	"acyl-CoA dehydrogenase"
"Rv3762c"	"MT3869"	"Rv3762c"	"probable alkyl sulfatase"
"Rv3763"	"MT3870"	"lpqH"	"19 kDKD"
"Rv3764c"	"MT3871"	"Rv3764c"	"sensor histidine kinase"
"Rv3765c"	"MT3872"	"Rv3765c"	"two-component response regulator"
"Rv3766"	"MT3873"	"Rv3766"	"hypothetical protein"
"Rv3767c"	"MT3874"	"Rv3767c"	"conserved hypothetical protein"
"Rv3768"	"MT3875"	"Rv3768"	"hypothetical protein"
"Rv3769"	NA	"Rv3769"	"conserved hypothetical protein"
"Rv3770c"	"MT3877"	"Rv3770c"	"hypothetical protein"
"Rv3771c"	"MT3880"	"Rv3771c"	"conserved hypothetical protein"
"Rv3772"	"MT3881"	"hisC2"	"histidinol-phosphate aminotransferase"
"Rv3773c"	"MT3882"	"Rv3773c"	"conserved hypothetical protein"
"Rv3774"	"MT3883"	"echA21"	"enoyl-CoA hydratase/isomerase superfamily"
"Rv3775"	"MT3884"	"lipE"	"probable hydrolase"
"Rv3776"	NA	"Rv3776"	"conserved hypothetical protein"
"Rv3777"	"MT3886"	"Rv3777"	"3-Hydroxyacyl-CoA Dehydrogenase"
"Rv3778c"	"MT3887"	"Rv3778c"	"conserved hypothetical protein"
"Rv3779"	"MT3888"	"Rv3779"	"unknown membrane protein"
"Rv3780"	"MT3889"	"Rv3780"	"hypothetical protein"
"Rv3781"	"MT3890"	"Rv3781"	"ABC transporter"
"Rv3782"	"MT3891"	"rfbE"	"similar to rhamnosyl transferase"
"Rv3783"	"MT3892"	"Rv3783"	"integral membranememebrane protein, ABC-2 SUBFAMILY"
"Rv3784"	"MT3893"	"epiB"	"probable UDP-galactose 4-epimerase"
"Rv3785"	"MT3893"	"Rv3785"	"hypothetical protein"
"Rv3786c"	"MT3894"	"Rv3786c"	"hypothetical protein"
"Rv3787c"	"MT3895"	"Rv3787c"	"conserved hypothetical protein"
"Rv3788"	NA	"Rv3788"	"hypothetical protein"
"Rv3789"	"MT3897"	"Rv3789"	"conserved hypothetical protein"
"Rv3790"	"MT3898"	"Rv3790"	"putative oxidoreductase"
"Rv3791"	"MT3899"	"Rv3791"	"putative oxidoreductase"
"Rv3792"	"MT3899.1"	"Rv3792"	"unknown membrane protein"
"Rv3793"	"MT3900"	"embC"	"involved in arabinogalactan synthesis"
"Rv3794"	"MT3901"	"embA"	"involved in arabinogalactan synthesis"
"Rv3795"	"MT3902"	"embB"	"involved in arabinogalactan synthesis"
"Rv3796"	"MT3903"	"atsH"	"proable arylsulfatase"
"Rv3797"	"MT3904"	"fadE35"	"acyl-CoA dehydrogenase"
"Rv3798"	"MT1353"	"Rv3798"	"transposase"
"Rv3799c"	"MT3906"	"accD4"	"acetyl/propionyl CoA carboxylase [beta] subunit"
"Rv3800c"	"MT3907"	"pks13"	"polyketide synthase"
"Rv3801c"	"MT3908"	"fadD32"	"acyl-CoA synthase"
"Rv3802c"	"MT3909"	"Rv3802c"	"hypothetical protein"
"Rv3803c"	"MT3910"	"fbpC1"	"antigen MPT51, mycolyltransferase"
"Rv3804c"	"MT3911"	"fbpA"	"antigen 85A, mycolyltransferase"
"Rv3805c"	"MT3912"	"Rv3805c"	"weak similarity to integral membrane proteins"
"Rv3806c"	"MT3913"	"Rv3806c"	"possible integral membrane protein"
"Rv3807c"	"MT3914"	"Rv3807c"	"possible membrane protein"
"Rv3808c"	"MT3915"	"Rv3808c"	"hypothetical protein"
"Rv3809c"	"MT3916"	"glf"	"UDP-galactopyranose mutase"
"Rv3810"	"MT3917"	"pirG"	"cell surface protein precursor (Erp protein)"
"Rv3811"	"MT3918"	"csp"	"secreted protein"
"Rv3812"	"MT3920"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv3813c"	"MT3922"	"Rv3813c"	"conserved hypothetical protein"
"Rv3814c"	"MT3923"	"Rv3814c"	"probable acyltransferase"
"Rv3815c"	"MT3924"	"Rv3815c"	"probable acyltransferase"
"Rv3816c"	"MT3925"	"Rv3816c"	"probable acyltransferase"
"Rv3817"	"MT3925.1"	"Rv3817"	"probable aminoglycoside 3 -phosphotransferase"
"Rv3818"	"MT3926"	"Rv3818"	"hypothetical protein"
"Rv3819"	NA	"Rv3819"	"hypothetical protein"
"Rv3820c"	"MT3928"	"papA2"	"PKS-associated protein, unknown function"
"Rv3821"	"MT3929"	"Rv3821"	"conserved hypothetical protein"
"Rv3822"	"MT3930"	"Rv3822"	"conserved hypothetical protein"
"Rv3823c"	"MT3931"	"mmpL8"	"conserved large membrane protein"
"Rv3824c"	"MT3932"	"papA1"	"PKS-associated protein, unknown function"
"Rv3825c"	"MT3933"	"pks2"	"polyketide synthase"
"Rv3826"	"MT3934"	"fadD23"	"acyl-CoA synthase"
"Rv3827c"	"MT3935"	"Rv3827c"	"transposase"
"Rv3828c"	"MT3936"	"Rv3828c"	"resolvase"
"Rv3829c"	"MT3937"	"Rv3829c"	"probable ketoacyl reductase"
"Rv3830c"	"MT3938"	"Rv3830c"	"transcriptional regulator (TetR/AcrR family)"
"Rv3831"	"MT3939"	"Rv3831"	"hypothetical protein"
"Rv3832c"	"MT3940"	"Rv3832c"	"hypothetical protein"
"Rv3833"	"MT3941"	"Rv3833"	"transcriptional regulator (AraC/XylS family)"
"Rv3834c"	"MT3942"	"serS"	"seryl-tRNA synthase"
"Rv3835"	"MT3943"	"Rv3835"	"hypothetical protein"
"Rv3836;Rv3836"	NA	NA	NA
"Rv3837c"	"MT3945"	"Rv3837c"	"putative phosphoglycerate mutase"
"Rv3838c"	"MT3946"	"pheA"	"prephenate dehydratase"
"Rv3839"	"MT3947"	"Rv3839"	"hypothetical protein"
"Rv3840;Rv3840"	NA	NA	NA
"Rv3841"	"MT3949"	"bfrB"	"bacterioferritin"
"Rv3842c"	"MT3950"	"glpQ1"	"glycerophosphoryl diester phosphodiesterase"
"Rv3843c"	"MT3951"	"Rv3843c"	"probable membrane protein"
"Rv3844"	"MT3455"	"Rv3844"	"weakly similar to transposases; 100% id to Rv3348"
"Rv3845"	NA	"Rv3845"	"hypothetical protein"
"Rv3846"	"MT3960"	"sodA"	"superoxide dismutase"
"Rv3847"	"MT3961"	"Rv3847"	"hypothetical protein"
"Rv3848"	"MT3963"	"Rv3848"	"probable membrane proteinprot"
"Rv3849"	"MT3964"	"Rv3849"	"hypothetical protein"
"Rv3850"	"MT3965"	"Rv3850"	"hypothetical protein"
"Rv3851"	NA	"Rv3851"	"hypothetical protein"
"Rv3852"	"MT3967"	"hns"	"HU-histone protein"
"Rv3853"	"MT3968"	"menG"	"S-adenosylmethionine:2-demethylmenaquinone"
"Rv3854c"	"MT3969"	"Rv3854c"	"probable monooxygenase"
"Rv3855"	"MT3970"	"Rv3855"	"putative transcriptional regulator"
"Rv3856c"	"MT3971"	"Rv3856c"	"conserved hypothetical protein"
"Rv3857c"	"MT3972"	"Rv3857c"	"hypothetical protein"
"Rv3858c"	"MT3973"	"gltD"	"small subunit of NADH-dependent glutamate synthase"
"Rv3859c"	"MT3974"	"gltB"	"ferredoxin-dependent glutamate synthase"
"Rv3860"	"MT3975"	"Rv3860"	"conserved hypothetical protein"
"Rv3861"	NA	"Rv3861"	"hypothetical protein"
"Rv3862c"	"MT3976"	"Rv3862c"	"hypothetical protein"
"Rv3863"	NA	"Rv3863"	"hypothetical protein"
"Rv3864"	"MT3978"	"Rv3864"	"conserved hypothetical protein"
"Rv3865"	NA	"Rv3865"	"conserved hypothetical protein"
"Rv3866"	"MT3980"	"Rv3866"	"conserved hypothetical protein"
"Rv3867"	"MT3980"	"Rv3867"	"conserved hypothetical protein"
"Rv3868"	NA	"Rv3868"	"conserved hypothetical protein"
"Rv3869"	"MT3982"	"Rv3869"	"conserved hypothetical protein"
"Rv3870"	"MT3983"	"Rv3870"	"conserved hypothetical protein"
"Rv3871"	"MT3985"	"Rv3871"	"conserved hypothetical protein"
"Rv3872"	"MT3986"	"PE"	"PE-family protein"
"Rv3873"	"MT3987"	"PPE"	"PPE-family protein"
"Rv3874"	"MT3988"	"Rv3874"	"conserved hypothetical protein"
"Rv3875"	"MT3989"	"esat6"	"early secretory antigen target"
"Rv3876"	"MT3990"	"Rv3876"	"conserved hypothetical protein"
"Rv3877"	"MT3991"	"Rv3877"	"conserved hypothetical protein"
"Rv3878"	"MT3992"	"Rv3878"	"hypothetical protein"
"Rv3879c"	"MT3993"	"Rv3879c"	"hypothetical protein"
"Rv3880c"	"MT3995"	"Rv3880c"	"conserved hypothetical protein"
"Rv3881c"	"MT3996"	"Rv3881c"	"conserved hypothetical protein"
"Rv3882c"	"MT3997"	"Rv3882c"	"conserved hypothetical protein"
"Rv3883c"	"MT3998"	"Rv3883c"	"probable secreted protease"
"Rv3884c"	"MT3999"	"Rv3884c"	"conserved hypothetical protein"
"Rv3885c"	"MT4000"	"Rv3885c"	"hypothetical protein"
"Rv3886c;Rv3886c"	NA	NA	NA
"Rv3887c;Rv3887c"	NA	NA	NA
"Rv3888c"	"MT4003"	"Rv3888c"	"conserved hypothetical protein"
"Rv3889c"	"MT4004"	"Rv3889c"	"hypothetical protein"
"Rv3890c"	"MT4005"	"Rv3890c"	"hypothetical protein"
"Rv3891c"	"MT4006"	"Rv3891c"	"hypothetical protein"
"Rv3892c"	"MT4007"	"PPE"	"PPE-family protein"
"Rv3893c"	"MT4008"	"PE"	"PE-family protein"
"Rv3894c"	"MT4010"	"Rv3894c"	"transmembrane ATP/GTP binding protein"
